SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AGE_CLIENT,YEARS_EMPLOYED,CNT_FAM_MEMBERS,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,ANNUITY_INCOME%,PAYMENT_RATE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE
100002,1,Cash loans,M,26,1.75,1.0,N,Y,202500.0,406597.5,24700.5,351000.0,0.122,0.061,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
100003,0,Cash loans,F,46,3.25,2.0,N,N,270000.0,1293502.5,35698.5,1129500.0,0.132,0.028,State servant,Higher education,Married,House / apartment,Core staff
100004,0,Revolving loans,M,52,0.62,1.0,Y,Y,67500.0,135000.0,6750.0,135000.0,0.1,0.05,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
100006,0,Cash loans,F,52,8.33,2.0,N,Y,135000.0,312682.5,29686.5,297000.0,0.22,0.095,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers
100007,0,Cash loans,M,55,8.32,1.0,N,Y,121500.0,513000.0,21865.5,513000.0,0.18,0.043,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff
100008,0,Cash loans,M,46,4.35,2.0,N,Y,99000.0,490495.5,27517.5,454500.0,0.278,0.056,State servant,Secondary / secondary special,Married,House / apartment,Laborers
100009,0,Cash loans,F,38,8.58,3.0,Y,Y,171000.0,1560726.0,41301.0,1395000.0,0.242,0.026,Commercial associate,Higher education,Married,House / apartment,Accountants
100010,0,Cash loans,M,52,1.23,2.0,Y,Y,360000.0,1530000.0,42075.0,1530000.0,0.117,0.028,State servant,Higher education,Married,House / apartment,Managers
100011,0,Cash loans,F,55,4.52,2.0,N,Y,112500.0,1019610.0,33826.5,913500.0,0.301,0.033,Pensioner,Secondary / secondary special,Married,House / apartment,
100012,0,Revolving loans,M,40,5.53,1.0,N,Y,135000.0,405000.0,20250.0,405000.0,0.15,0.05,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
100014,0,Cash loans,F,28,1.86,3.0,N,Y,112500.0,652500.0,21177.0,652500.0,0.188,0.032,Working,Higher education,Married,House / apartment,Core staff
100015,0,Cash loans,F,56,4.52,2.0,N,Y,38419.155,148365.0,10678.5,135000.0,0.278,0.072,Pensioner,Secondary / secondary special,Married,House / apartment,
100016,0,Cash loans,F,37,7.44,2.0,N,Y,67500.0,80865.0,5881.5,67500.0,0.087,0.073,Working,Secondary / secondary special,Married,House / apartment,Laborers
100017,0,Cash loans,M,39,8.3,3.0,Y,N,225000.0,918468.0,28966.5,697500.0,0.129,0.032,Working,Secondary / secondary special,Married,House / apartment,Drivers
100018,0,Cash loans,F,40,0.56,2.0,N,Y,189000.0,773680.5,32778.0,679500.0,0.173,0.042,Working,Secondary / secondary special,Married,House / apartment,Laborers
100019,0,Cash loans,M,24,3.17,1.0,Y,Y,157500.0,299772.0,20160.0,247500.0,0.128,0.067,Working,Secondary / secondary special,Single / not married,Rented apartment,Laborers
100020,0,Cash loans,M,35,3.61,2.0,N,N,108000.0,509602.5,26149.5,387000.0,0.242,0.051,Working,Secondary / secondary special,Married,House / apartment,Drivers
100021,0,Revolving loans,F,27,0.52,3.0,N,Y,81000.0,270000.0,13500.0,270000.0,0.167,0.05,Working,Secondary / secondary special,Married,House / apartment,Laborers
